original_title,poster_path,date,rate
Happy Gilmore,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg,1996,6.5
The Bridges of Madison County,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,1995,7.3
Keiner liebt mich,/lnfMQ6K2EgJpn2JZTadnaufiwiR.jpg,1994,5.5
Muppet Treasure Island,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,1996,6.5
Catwalk,/yhFcbTCnsWjg3nH3PLL6RoltjqS.jpg,1995,6.4
Before and After,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg,1996,5.8
Margaret's Museum,/l00ALsdVyRGmPIp5EWlEoplki0X.jpg,1995,6.5
Le Bonheur est dans le pré,/4PlYwKSqsjKFr4hjh61KukRIRvy.jpg,1995,6.9
Anne Frank Remembered,/x2n4YIVsms3JL8qCfzrbOg2yx0x.jpg,1995,6.7
The Young Poisoner's Handbook,/yLEdmdH8sgK0hbHT4Oie1l1pt5d.jpg,1995,6.7
If Lucy Fell,/kFjffUg7zcST9AW4GoWiJFoNsH3.jpg,1996,5.6
Steal Big Steal Little,/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg,1995,5.4
Race the Sun,/odifQ57irGc3k0x85djZ0yT2Inn.jpg,1996,5.3
The Boys of St. Vincent,/zC4WsoeXN2wCrUjNzu4iu7ph17Z.jpg,1992,6.6
Boomerang,/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg,1992,5.4
重慶森林,/yQUjZTzwgskqOJdr3jhwQ4yTkvb.jpg,1994,7.9
L'uomo delle stelle,/zRLV8Gz4x3k4Dc4Zxbmz7jsqNoN.jpg,1995,6.7
Flirting with Disaster,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,1996,6.3
The NeverEnding Story III,/driZCEKL79PaCsZNICSU3xd59sk.jpg,1994,4.5
صمت القصور,/3M4bH7A2L6wrHeueTUwr5PKYkfS.jpg,1994,5.3
Pie in the Sky,/6KO5jsPOr80J8PkKXPE8fym5I2R.jpg,1996,6.4
Angela,/dw5RWgSSDV5h3ZKS0oSzPe6A26p.jpg,1995,5.7
Frankie Starlight,/1cPX7MWnEYG21tSdEpWlFygZUwY.jpg,1995,5.7
Jade,/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg,1995,5.2
Down Periscope,/q6JEjedx4LoZRig8U1R5sJqBfti.jpg,1996,5.6
From the Journals of Jean Seberg,/wfPHta8Wxm4LQVHU8tRhL8GCyIz.jpg,1995,6.2
Man of the Year,/nKYRDhGlbvQpXJnyMm7fcFDtm6P.jpg,1995,5.3
The Neon Bible,/wpaZXRvhdNhmaedy8BMytuOXvGO.jpg,1995,6.7
Up Close & Personal,/bxRJQjCsJu6j4lvphjVJ5knNebs.jpg,1996,5.9
The Birdcage,/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg,1996,6.7
Gospa,/b8niK1RquKFR7TZBJbWN8zZPCcT.jpg,1995,6.4
The Brothers McMullen,/8YlwQ2BBH6PY3Tl0bOf0fLep31h.jpg,1995,6.3
Bad Boys,/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg,1995,6.5
The Amazing Panda Adventure,/1yB7ryvYqKrNTnWcx3C31RdUgL1.jpg,1995,5.1
The Basketball Diaries,/8BkedYL5LdpkyHc7JtuohMr8a9N.jpg,1995,7.2
An Awfully Big Adventure,/e8YzXziAXKIqnWJbLI6OzbdkGYD.jpg,1995,6.0
Amateur,/lZHBvDFavIfOx8gD4iqY701jF98.jpg,1994,6.4
Rob Roy,/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg,1995,6.5
The Addiction,/ej0gD547grj5QMoKuzqKyHuc3Xi.jpg,1995,6.4
Belle de jour,/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg,1967,7.3
Beyond Rangoon,/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg,1995,6.3
Blue in the Face,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg,1995,6.7
Canadian Bacon,/qnKARYBofUzHkBY8x9GWSNSoota.jpg,1995,5.9
Clockers,/ugGhvQoGBrefqmkeBvBgT4YVCRk.jpg,1995,6.8
Congo,/wjeQaiAApgzdipkNXhQnBrqjBY9.jpg,1995,5.0
Crimson Tide,/oDJyDX11HW4j565vUjmFagKxDTQ.jpg,1995,7.0
Crumb,/yzK39sdkGoiSyKZEWT6HQzaC0BX.jpg,1994,7.5
Desperado,/7eVo5DbP7gcsDzHcpRCTA6JAuF2.jpg,1995,6.8
Devil in a Blue Dress,/z0Boi5LktVxDMFnpyAqQEnYfPtM.jpg,1995,6.3
The Doom Generation,/6ZwsSedjyzR0poDrKlJaYWoseaH.jpg,1995,5.6
Free Willy 2 - The Adventure Home,/yLyyjm4m3fSvbazyFv4RtUnb2uQ.jpg,1995,5.5
Jeffrey,/mdQd6vgt2sr8gCIVUucwxus29j1.jpg,1995,6.4
Johnny Mnemonic,/s9LyQtKhfUcQlZEw8hJLP6XqroO.jpg,1995,5.5
Judge Dredd,/r17S4XlQ3Jq5U1KRovFUwU8P4aG.jpg,1995,5.4
Jury Duty,/fOKuWVHR2M4xPjRwYl0bLHsdRHu.jpg,1995,4.2
Kids,/gMuV7ORN8rRfQPMImby8KRGihO2.jpg,1995,6.8
Living in Oblivion,/sWWb7tX3eEX7M0B7t89Gh9rDctX.jpg,1995,7.1
Lord of Illusions,/9pwdoUes8V8ntTetsKtv2ThGeIm.jpg,1995,5.9
Love & Human Remains,/wuCyRk9eult77MXmRnE9gkSjUnt.jpg,1993,6.6
Mad Love,/yLq2bns665GyK5UcMXKUJmItm7F.jpg,1995,5.6
Mallrats,/4saVIltqkhq9is5NmD7N87Q40M.jpg,1995,6.8
Mighty Morphin Power Rangers: The Movie,/A3ijhraMN0tvpDnPoyVP7NulkSr.jpg,1995,5.2
Moonlight and Valentino,/wLwkTj5DRVNUnKSsNHdoka4QPLF.jpg,1995,5.7
Mute Witness,/1AJujK1IjuyxvIG8pjmef9qJsnQ.jpg,1995,6.4
Nadja,/bRz2J0jlMgczJptX0Atzo9l70Bd.jpg,1994,5.9
Nine Months,/aYavA2TOqpWVcxQZ31mMlYKqoFM.jpg,1995,5.5
Party Girl,/iYM0EdHrcbu8rhkDKVBkDcZEo8t.jpg,1995,5.9
The Prophecy,/A3aYGp8LLxuFdzG2ETnhfbWPk7h.jpg,1995,6.4
Safe,/ihX2udk636JMAAaWDIMj6n5ejhb.jpg,1995,7.1
The Scarlet Letter,/g46rChf49Qgq28RJ22iWwvsK7nO.jpg,1995,5.5
Smoke,/dku3aLprH3j1ilSsubW9Pbgfe0y.jpg,1995,7.2
Something to Talk About,/p9qioRaQblGXemFRQSwo8TpikVJ.jpg,1995,5.7
The Stars Fell on Henrietta,/5mkH38tcztyLy6CeAWHD1FC8ozC.jpg,1995,6.4
Strange Days,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,1995,6.8
Les parapluies de Cherbourg,/ju5W8qvWfjXXGaR7wd9wSyuYXhS.jpg,1964,7.5
The Tie That Binds,/uCPwXcYZ8G5Xi5h8zonBco980Dk.jpg,1995,5.0
Three Wishes,/ub79b63JJV4oeHwomSy5OS5fVsr.jpg,1995,6.1
Total Eclipse,/BTGFfPHySJtw2qBoLysz3ercDB.jpg,1995,6.5
"To Wong Foo, Thanks for Everything! Julie Newmar",/xIDEoG9FQGmMCh5XsbkvSuD8WrW.jpg,1995,6.3
Under Siege 2: Dark Territory,/6Z1p71nkm45cYuIZWOx5JSCYc0o.jpg,1995,5.6
Unstrung Heroes,/puMRjRJYE5TX1ffwuqoLXW9iLqq.jpg,1995,6.3
Unzipped,/5fY5iN8mUBLdd4fmcXwdTqAZ9Sx.jpg,1995,6.0
A Walk in the Clouds,/iZ4FNVYVUx6NS7HXMiNJTGgSo7H.jpg,1995,6.5
White Man's Burden,/aaFpmILNyNSReVgzKGFu8iKNYzi.jpg,1995,5.2
Wild Bill,/qIgslXL0NDtSlcHxISACLwWbkRJ.jpg,1995,5.9
The Browning Version,/xjWc2uWrcGLwC87JN2CbxseGKQ.jpg,1994,6.0
Bushwhacked,/A4UQ0y2kj4ZXrBP0MXYazd69xp2.jpg,1995,5.0
Утомлённые солнцем,/e7bE9BiLyKaZtNF3Q2ro8gVCEQA.jpg,1994,6.6
Before the Rain,/aIll5MvOZmUCmiwuGWMlaHRj2gj.jpg,1994,7.6
Before Sunrise,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,1995,7.7
Billy Madison,/5mP8F0NYSVrwrlWRCSD4uywMNnX.jpg,1995,6.2
The Babysitter,/hUfKMTLCIK7OwLYX58TfY8APwRm.jpg,1995,4.9
Boys on the Side,/dcgbt8FkRLvQjaheVlylPSQeTKC.jpg,1995,6.3
The Cure,/keUrRrUsmALR7kOTSdrOIDcO67z.jpg,1995,7.1
Castle Freak,/eeO3BIHJoI3sabtkqfYOStdbOwm.jpg,1995,5.8
Circle of Friends,/6T3hCdOWU49Y0hmuzceARU5yS5x.jpg,1995,6.4
Clerks,/dmNytzvQTjylI83qrgDoS1KQ0ev.jpg,1994,7.4
Don Juan DeMarco,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,1994,6.3
Disclosure,/qbwcjmHnXkeE8l7wNBsdnlrp3J4.jpg,1994,5.9
Drop Zone,/pVgdUHeIVEILyRISE4ysA8I6a8T.jpg,1994,5.1
Death and the Maiden,/3p1K153ZbRV7FNyi4DNnzHfxJZa.jpg,1994,7.1
Dolores Claiborne,/ewmVWV0TP8LTlYZ4OzCcguwC9d1.jpg,1995,7.1
Dumb and Dumber,/3PEAkZHa8ehfUkuKbzmQNRTTAAs.jpg,1994,6.5
飲食男女,/jGjSu9zlR2I8t6OE54uxSJ7M25p.jpg,1994,7.4
Exotica,/oIwrh7QhwUNxejsvgKtFG4V0gaQ.jpg,1994,6.5
Exit to Eden,/9oIEKFVPhgVEzbcbRPDXCdkUgRN.jpg,1994,4.5
Ed Wood,/9qBe2sUDyY2dFH1iHq0SZb1G4QG.jpg,1994,7.3
French Kiss,/bZqvonwVru1XtnniQZgZRa3Znyk.jpg,1995,6.2
Far from Home: The Adventures of Yellow Dog,/oDufYQrDhdAsJlwQUnjY9wHRWgL.jpg,1995,5.7
A Goofy Movie,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,1995,6.7
Hideaway,/oVaurD05v55CklwT62uZwENXDw1.jpg,1995,5.1
Fluke,/W9QVHIH4n8X8OLWyEqbzBTfhfD.jpg,1995,6.6
Farinelli,/mF1PyZIJ2l3B3d2S41LrqjPL5Sc.jpg,1994,5.9
Gordy,/xKGu7MQz9lxK3JGDFqQxxzMyfGH.jpg,1995,4.5
Gumby: The Movie,/mv8yiGImY2fxyvN2k8Grpg9NCL8.jpg,1995,5.7
The Glass Shield,/qD2B53sG1yhPyRANr2fnQerePas.jpg,1994,5.6
Hoop Dreams,/g5yIxuzZ3LFRxDa8SBQybJJhXng.jpg,1994,7.6
Heavenly Creatures,/5ek49TUeqStPmKwNdxrCSUAdXNe.jpg,1994,6.9
Houseguest,/hJ1t3dz51ZirOZVzse9LpmW5Mnw.jpg,1995,6.0
Immortal Beloved,/meRFVzGpBJiObWfdtOoNr0UPsP4.jpg,1994,6.9
Heavyweights,/j6bhaWGuhL5nyRK0FdpnRIBDlp3.jpg,1995,6.0
The Hunted,/llu5wgQGYyMVDnz4p8ds8Um3lUa.jpg,1995,6.0
I.Q.,/kAYymfWcktoHSjQJEtfEIeByZR9.jpg,1994,5.9
Interview with the Vampire,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,1994,7.2
Jefferson in Paris,/qKr3Mgo1HB3HkGTAVoVEpOSWlp2.jpg,1995,5.4
The Jerky Boys,/lXu3oa1mQzI2sDsFcKuyJYLziLK.jpg,1995,5.2
Junior,/bwt2hkLGKo5KAVMCw4u1umUPhax.jpg,1994,4.7
Just Cause,/tPQ8kT5HVxfyKXVeoiC6NkF5gsu.jpg,1995,6.0
A Kid in King Arthur's Court,/iklPPdF1TQFPmRyVu0SH0yF1gdt.jpg,1995,4.5
Kiss of Death,/uQjFpAEF6GUIKW46sbndWtsEQSl.jpg,1995,5.7
Little Women,/tD9YDE8pjtSvvKUpkmooE6YDSm8.jpg,1994,7.0
A Little Princess,/a7LslH4Ofdvi1oam9Bbhb2UyMR2.jpg,1995,7.4
Ladybird Ladybird,/9YgIxxPsWMwoIFrBgNxHgGn0y29.jpg,1994,7.1
L'Enfer,/9ACPvC1XFRta8SXA816C0my32TG.jpg,1994,6.5
Como agua para chocolate,/3nU4id8Ul2pEGVfIWl1r9wSzBeC.jpg,1992,6.6
Major Payne,/tCgBOpglqgg478AIy9wYfZ7choY.jpg,1995,6.1
Little Odessa,/9BQrTWQodxm0G349yruhRuJV38q.jpg,1994,6.4
Mi Vida Loca,/uEzbxMuT2d1KNR0KEfQncN7IUq2.jpg,1994,5.8
Love Affair,/mQMCPf0GUaOjKYFTdmL8w8udnJX.jpg,1994,4.8
Losing Isaiah,/h0IjNfD1D7WVR70JpvMMWhNVx4N.jpg,1995,6.4
The Madness of King George,/Apgj4j73aUyMkNaPoSuQ7DJbt1M.jpg,1994,6.7
Man of the House,/6bnOhhrrrq6RZhMgz4aGyqbJ9Wf.jpg,1995,5.2
Mixed Nuts,/q4kYWVXsPhD23XhGCBaWHoEITHC.jpg,1994,5.3
Milk Money,/94AgmLpD2NtCSwJ13rof6Bn5mfN.jpg,1994,5.6
Miracle on 34th Street,/iuI31j8DM4TOxJTZeumG0S4npPU.jpg,1994,6.4
Miami Rhapsody,/jn2kmqCgRcloNYr121BB4BmgSRu.jpg,1995,5.8
My Family,/wDV4MCBmmTdgNQTv2tYbQg5diaB.jpg,1995,6.7
Murder in the First,/jPbBDALAjTQFzCl21ZKmhjSjEmD.jpg,1995,6.9
Nobody's Fool,/3mbJyBFsryL6wcSuEwHXvpzdOYa.jpg,1994,6.9
Nell,/4XLF6QkUqMDL5SLDEw1nrpSMk8N.jpg,1994,6.1
New Jersey Drive,/pkQKP4ZFzSjvSDXYeVtfju5A2pR.jpg,1995,6.6
Beyond Bedlam,/h7hwxnIC997ceboreSmEZo82bAw.jpg,1994,5.0
Nemesis 2 - Nebula,/mY7SX6aBDumSweQMTCdfrIbMLAa.jpg,1995,5.0
Nina Takes a Lover,/24f1paDywuI9FVEmT313Ze8oVHX.jpg,1995,6.7
Natural Born Killers,/w5sruoTQ87PFAGRJQyyaCOM1C4A.jpg,1994,6.9
Only You,/eaHH1hnbZ9wIUHjYKlqJUwpTBan.jpg,1994,6.4
Once Were Warriors,/8QF48QS5lvtrhOclt22RFz3bSQm.jpg,1994,7.5
Poison Ivy II: Lily,/bYU4DdtGM4JBu5eZNkauDjJhXpN.jpg,1996,4.8
The Perez Family,/paSbLkZL35t2fmdxoQNHv6ckVjw.jpg,1995,6.4
A Pyromaniac's Love Story,/leJcOavVPUrYodUJteBOl7pRFuU.jpg,1995,6.4
Panther,/lHxczIhjEXFuxUyLf5ktdwoIdZq.jpg,1995,6.3
Pushing Hands,/vUHVplZlDzSGJuDrxFlBVo1zmem.jpg,1992,6.1
Priest,/ts8BUqausEiIWeMtjSqQgn8m6kN.jpg,1994,6.4
Quiz Show,/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg,1994,7.1
Picture Bride,/eREsgaAN2Br1Tlg9eDSBjHrb1AC.jpg,1995,6.8
La Reine Margot,/jBE7n0rJjL9f7BhBMojKVFDhsNI.jpg,1994,6.9
The Quick and the Dead,/50ZzhAMO6nunlCp7FrGj7VoLxJV.jpg,1995,6.2
Roommates,/hvHNlMvWS2GBt7RR971bJ3k4bJc.jpg,1995,6.3
Prêt-à-Porter,/jP8ONbgwpQm5ojrtFuKCwvG1wCs.jpg,1994,5.4
Trois couleurs : Rouge,/77CFEssoKesi4zvtADEpIrSKhA3.jpg,1994,7.8
Trois couleurs : Bleu,/ztIqf7yGmb4JRFiv2i62K6PhTQR.jpg,1993,7.7
Trois couleurs : Blanc,/xOLY69rXKwuH9JUnOE4G2HHKiW5.jpg,1994,7.3
Pao Da Shuang Deng,/gM516lPBoHPYjgrLrmZKoNfNm6X.jpg,1994,6.4
Rent-a-Kid,/bIxNdNo4jNBLpcUoWvQ7LEnuA0w.jpg,1995,5.3
Relative Fear,/l9mzb7eJ1SOLEwcmLHBa27YtiXR.jpg,1995,5.5
Stuart Saves His Family,/9EwB291UkaAHhS3m7PQ6QLizu3w.jpg,1995,5.4
The Swan Princess,/oYp2bckWNBKOIbznjAfypVoMOFl.jpg,1994,6.5
The Secret of Roan Inish,/x3H5XwswpUWnskoAWRwiB7rYBxt.jpg,1994,6.1
The Specialist,/flK0OtdFRvfbs5BixEqU327H8ZB.jpg,1994,5.5
The Santa Clause,/hrZjAYAF1o37k4Qb442c4yxwVLw.jpg,1994,6.3
Shallow Grave,/qak9QuEiH5ENwqxyVEO0onegCx6.jpg,1994,7.0
Suture,/xP4dO0TVsSvKXx8uwfLSqsbtfLM.jpg,1993,6.0
Fresa y chocolate,/7NdKNNrONwbmCOJgTO4wYjWzQyW.jpg,1993,6.9
Swimming with Sharks,/jqsOhWIGccIJCe8zvHKQuWy5IJL.jpg,1994,6.7
The Sum of Us,/rAQAUf6HHUyoT2Ii6jUmzMu5Ppf.jpg,1994,6.0
Senior Trip,/qfMbFIGNIQ76FEu7Wg48aEbxFh1.jpg,1995,5.7
活着,/kKZYobKNLPGoOt7p2pfTRggelgP.jpg,1994,7.6
Tank Girl,/n3QWQhb5oVJxTLNKMLmA9xC5XwB.jpg,1995,5.5
Tales from the Crypt: Demon Knight,/8uD5yk0ECebJ59lhvhTBKhUojc.jpg,1995,6.7
Star Trek: Generations,/wjrXjlNpDq9U8vYmAwf420yDFtn.jpg,1994,6.4
Tales from the Hood,/3OrapxFNr12AhRxupQ8Z2jP1D13.jpg,1995,5.5
Tom & Viv,/vLh2r5QyIooLhmYNYEaSZ4Jxsav.jpg,1994,5.9
Village of the Damned,/iwmI6kZWPJ9TYC4PJ0fi80TNFx5.jpg,1995,5.6
Tommy Boy,/lbsuDUaTH9POXWb4Inyck8gZFck.jpg,1995,6.8
Vanya on 42nd Street,/ii4bqnfm5aW3TxqGh0tcxS8nijK.jpg,1994,6.1
The Underneath,/xoMf6741KkVgHMqVWCvflqTHf09.jpg,1995,5.7
The Walking Dead,/lP0YJPbtshhFHGVSgiQojuiC1im.jpg,1995,6.3
What's Eating Gilbert Grape,/jQLoOPwNxyILwDbdhn9DsfQz0Sg.jpg,1993,7.5
Virtuosity,/7vdg9lA1un8TrNLlLKsaQtVqs4a.jpg,1995,5.4
The War,/neSgQuAS2zWZeqfHHNv41IEuR6v.jpg,1994,6.3
Double Happiness,/i67S4uIrx8nV1ZYk4zugsw3xbZX.jpg,1994,5.9
Muriel's Wedding,/qoZShHm8QTrHAR80LypwI0SYp8I.jpg,1994,6.9
The Baby-Sitters Club,/1Hbz9SWu98m4LsMPxfRNFIGKxuT.jpg,1995,5.4
Ace Ventura: Pet Detective,/nZirljb8XYbKTWsRQTplDGhx39Q.jpg,1994,6.4
"The Adventures of Priscilla, Queen of the Desert",/pmHRJPlAEiYATBIgKAa0IyY6Or7.jpg,1994,7.2
Backbeat,/zPhcqjKLThhzRPDoMEzVdjh431i.jpg,1994,6.2
Bitter Moon,/sUiqWj0k5oPcThd1WaXvt9Vymzr.jpg,1992,7.0
Bullets Over Broadway,/tfplmiNdTDHHbZZ8AGmXBiB1xJj.jpg,1994,7.0
Clear and Present Danger,/avRDucB3FLf1Xz5532hbOYd1giX.jpg,1994,6.4
"Corrina, Corrina",/lUmJNC3RAW0OxAtDP8CDEld9pFq.jpg,1994,6.4
Crooklyn,/iFqe07F78SO0SIBzWcK4I5MwNvP.jpg,1994,6.6
Cobb,/k6FYPlBJbH6e7UrDQ9B6LTNDSkD.jpg,1994,6.1
Four Weddings and a Funeral,/md9kMKnLG8LG4pMDM98gy5x4K5L.jpg,1994,6.6
Higher Learning,/cLeOjovcDq9kULToHuoXa1xmvET.jpg,1995,6.4
I Like It Like That,/5KYvQJGgrvceGhsRe8ydSpU7A8a.jpg,1994,6.2
I Love Trouble,/kOiWROfIm3Drk4EHr4XdNKNk5oZ.jpg,1994,5.4
It Could Happen to You,/4SSjiAa592zTqko7hHdKcj5d5cS.jpg,1994,6.1
